Continent,Country,Year,Life Expectancy,Gender,BMI,Blood Pressure,Cholesterol,Lung Cancer,Liver Cancer,Stomach Cancer,Population,Population Growth
Asia,Afghanistan,1990,48.9,women,20.7,124,4.55,194,107,406,6067694,6.751312772
Europe,Albania,1990,69.1,women,25.1,131,4.99,91,75.2,96.5,1603313,0.509008534
Africa,Algeria,1990,65.2,women,24.7,131,4.95,181,140,304,12722507,2.460521342
Africa,Angola,1990,39.6,women,20.9,130,4.66,127,165,200,5911638,3.464691174
Americas,Antigua and Barbuda,1990,68.7,women,25.7,126,5.01,1.42,1.57,2.67,32219,1.480492877
Americas,Argentina,1990,68.1,women,24.9,122,5.26,1600,685,1640,16733715,1.447365394
Asia,Armenia,1990,64.9,women,26.2,135,5.15,141,117,224,1823352,-0.590834902
Oceania,Australia,1990,73.9,women,24.9,126,5.6,1870,114,776,8505517,1.39956219
Europe,Austria,1990,72.1,women,24.3,130,5.65,883,207,1110,4029283,0.471845735
Asia,Azerbaijan,1990,60.7,women,26.7,131,5.11,194,172,464,3701311,1.629719848
Americas,Bahamas,1990,67.3,women,27.2,129,5.36,6.18,4.36,8.44,129093,1.890884866
Asia,Bahrain,1990,71.4,women,26.3,136,5.25,12.8,2.98,6.88,209759,2.647800571
Asia,Bangladesh,1990,58.1,women,18.8,123,4.47,2240,406,2310,49955818,2.392488098
Americas,Barbados,1990,69,women,27.5,128,5.11,7.82,8.69,18.4,135394,0.324238888
Europe,Belarus,1990,65.4,women,26.1,133,5.41,521,117,1770,5390324,0.07481925
Europe,Belgium,1990,72.5,women,25,128,5.8,1020,244,1010,5110675,0.316318295
Americas,Belize,1990,69.1,women,27,121,4.86,2.49,4.32,4.67,92982,1.921877353
Africa,Benin,1990,51.7,women,21.9,128,4.47,43.1,144,98.8,2554949,3.302101138
Asia,Bhutan,1990,52.6,women,21,123,4.47,4.46,2.35,11,25799,0.773673398
Europe,Bosnia and Herzegovina,1990,67.4,women,25.4,133,4.94,262,78.9,205,2252932,-1.980619033
Africa,Botswana,1990,59.3,women,24.4,132,4.76,24.2,12.6,14.7,671468,2.992249817
Americas,Brazil,1990,61.7,women,24.6,131,4.85,4120,1980,4340,74925448,1.806428972
Europe,Bulgaria,1990,68,women,25.7,133,5.34,488,319,843,4484014,-0.711393854
Africa,Burkina Faso,1990,48.3,women,20.2,127,4.3,57,255,230,4505343,2.675556556
Africa,Burundi,1990,46.3,women,20.1,129,4.3,40.4,103,141,2774306,2.319102507
Asia,Cambodia,1990,51.2,women,20.1,115,4.37,215,97.6,307,4640917,3.351126512
Africa,Cameroon,1990,50.8,women,22.7,126,4.6,145,404,254,5923729,3.010924369
Americas,Canada,1990,74.1,women,25.1,124,5.47,4870,283,1720,13884674,1.296645496
Africa,Central African Republic,1990,46.6,women,20.5,129,4.5,42.3,58.9,85.8,1424484,2.539024657
Africa,Chad,1990,45.8,women,19.9,125,4.36,44.3,154,119,3005552,3.209260728
Americas,Chile,1990,70.6,women,25.2,128,5.11,501,240,1010,6754675,1.643350716
Asia,China,1990,67.7,women,22.1,123,4.25,79400,74100,107000,573024206,1.36036173
Americas,Colombia,1990,64.4,women,24.7,125,5,853,607,1810,16787263,2.039885835
Africa,Comoros,1990,55.1,women,21.5,129,4.53,2.45,5.47,4.95,205212,2.942810362
Americas,Costa Rica,1990,73.1,women,24.6,123,4.86,53.8,48.7,206,1547967,2.682033919
Europe,Croatia,1990,68.6,women,25,134,5.34,445,92.5,629,2460555,-0.335818545
Americas,Cuba,1990,72.8,women,25,126,4.98,860,300,263,5289671,0.727285308
Asia,Cyprus,1990,74.5,women,24.7,128,5.43,19.6,6.34,20.9,377985,2.196648015
Europe,Denmark,1990,72.1,women,23.9,126,5.71,1220,114,354,2605304,0.240202295
Africa,Djibouti,1990,55.1,women,22.9,130,4.91,2.19,6.47,4.64,293434,2.789724435
Americas,Dominican Republic,1990,65.5,women,24,128,4.61,133,86.4,102,3544173,1.955350374
Americas,Ecuador,1990,66.6,women,25.6,126,4.9,134,199,622,5087226,2.371842729
Africa,Egypt,1990,62.2,women,27.2,125,4.78,595,1030,808,27927902,2.262386197
Americas,El Salvador,1990,59.3,women,24.9,121,4.71,74.6,71.5,196,26991,1.453706791
Africa,Equatorial Guinea,1990,46.7,women,20.9,131,4.59,5.86,8.54,11.3,211168,2.98577436
Africa,Eritrea,1990,48,women,19.4,121,4.26,14.2,37.2,45.8,1129111,0.40810868
Europe,Estonia,1990,64.3,women,25.3,134,5.58,124,26.6,259,833286,-0.973495295
Africa,Ethiopia,1990,45.6,women,19.3,120,4.29,301,758,997,24007485,3.589068159
Oceania,Fiji,1990,63.6,women,25.5,125,4.85,7.67,8.91,9.08,358487,0.902682664
Europe,Finland,1990,71.2,women,25.2,134,5.81,484,115,579,2571583,0.398509401
Europe,France,1990,72.5,women,24.4,128,5.72,3050,994,3980,29089912,0.461001738
Africa,Gabon,1990,59.7,women,23,136,5.11,21.1,31.6,24.6,483926,2.680161843
Africa,Gambia,1990,51,women,21.5,128,4.47,4.71,34,5.93,478775,3.897446609
Asia,Georgia,1990,66.3,women,26.1,134,5.19,224,150,393,2838268,-0.666286623
Europe,Germany,1990,72.1,women,25.1,133,5.83,8750,1580,12100,40908422,0.427266542
Africa,Ghana,1990,55.7,women,21.7,128,4.41,79.6,350,264,7335022,2.898314415
Europe,Greece,1990,73.7,women,24.4,128,5.29,847,735,781,5155977,0.840868763
Americas,Grenada,1990,66.3,women,25.2,125,4.79,2.83,3.07,4.51,4882,-0.043015158
Americas,Guatemala,1990,59.5,women,24.2,121,4.64,114,166,434,4660637,2.50879869
Africa,Guinea,1990,49,women,21,130,4.37,45.8,246,124,3303336,2.826415478
Africa,Guinea-Bissau,1990,46.9,women,21.4,128,4.35,9.87,36.1,33.1,504011,2.256696778
Americas,Guyana,1990,60,women,24.3,122,4.5,8.84,11.4,17.4,376574,0.361416348
Americas,Haiti,1990,53.1,women,21.5,124,4.49,205,118,421,3576596,1.986497776
Americas,Honduras,1990,64.5,women,24.3,123,4.63,57.2,76.7,204,2494078,2.889244041
Europe,Hungary,1990,65.1,women,25.5,133,5.29,1430,384,1120,5393366,-0.043627671
Europe,Iceland,1990,75.7,women,24.9,125,5.99,37.5,2.18,17.7,126987,1.027664249
Asia,India,1990,57.6,women,20.6,124,4.54,7370,3570,30200,42002042,2.036956441
Asia,Indonesia,1990,61.9,women,21.1,125,4.54,1900,1940,4850,90317033,1.785424019
Asia,Iraq,1990,62.8,women,27.1,129,4.99,217,137,164,8633975,2.714659239
Europe,Ireland,1990,72.1,women,25.2,128,5.6,460,39.7,210,1763962,0.262874144
Asia,Israel,1990,74.7,women,25.4,128,5.63,311,63,205,2228294,3.359341272
Europe,Italy,1990,73.6,women,24.9,131,5.38,5640,2740,8900,29315604,0.092278501
Americas,Jamaica,1990,69.9,women,25.4,126,4.81,66.8,41.4,105,1225843,0.837219774
Asia,Japan,1990,75.9,women,21.6,128,5.12,13700,8500,36700,63147967,0.366529614
Asia,Jordan,1990,68.6,women,28.6,126,5.26,30,13.3,33.3,1697858,5.498693059
Asia,Kazakhstan,1990,61.8,women,25.7,132,5.23,919,485,1660,8432202,-0.077725842
Africa,Kenya,1990,55.2,women,21.7,125,4.53,142,155,444,11904523,3.387897188
Oceania,Kiribati,1990,57.6,women,27.3,119,4.57,0.96,1.49,0.82,36582,1.757695041
Asia,Kuwait,1990,71.3,women,28.7,131,5.46,19,6.9,10.3,904753,-3.428891642
Europe,Latvia,1990,63.7,women,25.4,134,5.54,202,42.1,424,1423015,-0.491702477
Asia,Lebanon,1990,68.7,women,25.3,131,5.02,82.3,28.3,88,141964,4.091671128
Africa,Lesotho,1990,57.3,women,25.6,127,4.37,23.5,20.3,28.7,92621,1.257058335
Africa,Liberia,1990,45.1,women,22,129,4.45,13.5,74.7,46.1,1044075,-1.721906951
Africa,Libya,1990,67,women,27.5,134,5.13,33.2,34.7,36.2,2097728,2.604961177
Europe,Lithuania,1990,65.6,women,26.3,135,5.8,215,45.4,487,1947083,0.068974974
Europe,Luxembourg,1990,71.5,women,24.8,130,5.9,41.9,11.8,42.2,19498,1.09806134
Africa,Madagascar,1990,49.8,women,20.5,128,4.49,62.2,141,142,5807517,3.008617969
Africa,Malawi,1990,44.6,women,21.2,127,4.37,43.3,71,49.9,4742117,2.087358874
Asia,Malaysia,1990,68.9,women,23.3,125,4.91,553,206,336,8857746,2.663849246
Asia,Maldives,1990,61.8,women,23.6,122,4.65,1.34,1,2.6,108761,3.278748816
