Continent,Country,Year,Life Expectancy,Gender,BMI,Blood Pressure,Cholesterol,Lung Cancer,Liver Cancer,Stomach Cancer,Population,Population Growth
Africa,Algeria,1991,65.4,women,24.8,131,4.94,186,132,299,13035547,2.460521342
Africa,Angola,1991,39.7,women,21,130,4.64,130,169,204,6116458,3.464691174
Americas,Antigua and Barbuda,1991,68.9,women,25.8,126,5.01,1.48,1.58,2.65,32696,1.480492877
Americas,Argentina,1991,68.3,women,25.1,121,5.24,1650,691,1630,16975913,1.447365394
Asia,Armenia,1991,64.7,women,26.2,134,5.12,140,119,217,1812579,-0.590834902
Oceania,Australia,1991,74.2,women,25,125,5.58,1950,121,780,8624557,1.39956219
Europe,Austria,1991,72.3,women,24.3,130,5.63,907,213,1090,4048295,0.471845735
Asia,Azerbaijan,1991,60.5,women,26.7,131,5.08,193,174,452,3761632,1.629719848
Americas,Bahamas,1991,67.4,women,27.3,129,5.35,6.31,4.46,8.41,131534,1.890884866
Asia,Bahrain,1991,71.7,women,26.4,136,5.24,12.8,3.2,7.16,215313,2.647800571
Asia,Bangladesh,1991,58.7,women,18.8,123,4.47,2310,417,2220,51151005,2.392488098
Americas,Barbados,1991,69.2,women,27.5,127,5.09,8.2,8.79,18.6,135833,0.324238888
Europe,Belarus,1991,64.9,women,26.1,133,5.4,544,121,1810,5394357,0.07481925
Europe,Belgium,1991,72.7,women,25,128,5.77,1050,249,986,5126841,0.316318295
Americas,Belize,1991,68.8,women,27.1,121,4.84,2.64,4.51,4.73,94769,1.921877353
Africa,Benin,1991,52.4,women,22,128,4.45,43.9,148,97.8,2639316,3.302101138
Asia,Bhutan,1991,53.3,women,21.1,123,4.47,4.48,2.37,10.9,259986,0.773673398
Europe,Bosnia and Herzegovina,1991,67,women,25.3,133,4.91,266,79.3,205,220831,-1.980619033
Africa,Botswana,1991,58.5,women,24.5,132,4.76,25,13,14.6,69156,2.992249817
Americas,Brazil,1991,62,women,24.7,130,4.85,4280,2020,4360,76278923,1.806428972
Europe,Bulgaria,1991,67.9,women,25.6,133,5.32,500,312,824,4452115,-0.711393854
Africa,Burkina Faso,1991,48.2,women,20.3,127,4.28,58.1,260,227,4625886,2.675556556
Africa,Burundi,1991,46.1,women,20.2,130,4.29,41.1,104,143,2838645,2.319102507
Asia,Cambodia,1991,51.5,women,20.2,116,4.36,225,102,311,4796440,3.351126512
Africa,Cameroon,1991,50.5,women,22.8,126,4.57,147,412,253,6102088,3.010924369
Americas,Canada,1991,74.3,women,25.2,123,5.45,5150,298,1800,14064709,1.296645496
Africa,Central African Republic,1991,46.3,women,20.6,129,4.49,43.1,59.9,85.9,1460652,2.539024657
Africa,Chad,1991,45.9,women,20,125,4.35,45,158,118,3102008,3.209260728
Americas,Chile,1991,71,women,25.3,128,5.11,510,247,977,6865678,1.643350716
Asia,China,1991,67.8,women,22.1,123,4.25,81000,75700,108000,580819408,1.36036173
Americas,Colombia,1991,64.5,women,24.8,125,5.01,905,618,1860,17129704,2.039885835
Africa,Comoros,1991,55.6,women,21.6,129,4.51,2.51,5.57,5.03,211251,2.942810362
Americas,Costa Rica,1991,73.3,women,24.7,123,4.86,54.8,51.2,211,1589484,2.682033919
Europe,Croatia,1991,68.8,women,24.9,134,5.32,456,104,616,2452292,-0.335818545
Americas,Cuba,1991,72.8,women,25.1,126,4.96,883,303,266,5328142,0.727285308
Asia,Cyprus,1991,74.7,women,24.8,128,5.42,20.4,6.45,20.9,386288,2.196648015
Europe,Denmark,1991,72.3,women,24,126,5.68,1260,116,346,2611562,0.240202295
Africa,Djibouti,1991,55.3,women,22.9,130,4.88,2.24,6.72,4.82,30162,2.789724435
Americas,Dominican Republic,1991,65.9,women,24.1,128,4.59,140,95.4,107,3613474,1.955350374
Americas,Ecuador,1991,67,women,25.7,126,4.89,141,206,626,5207887,2.371842729
Africa,Egypt,1991,62.6,women,27.3,125,4.77,608,1050,800,28559739,2.262386197
Americas,El Salvador,1991,60.2,women,25.1,121,4.7,76.9,75.6,210,2738337,1.453706791
Africa,Equatorial Guinea,1991,47.1,women,21,131,4.58,5.91,8.61,11.5,217473,2.98577436
Africa,Eritrea,1991,48.4,women,19.5,121,4.25,14.3,37,45.5,1133719,0.40810868
Europe,Estonia,1991,63.8,women,25.1,133,5.57,131,27.3,270,825174,-0.973495295
Africa,Ethiopia,1991,46,women,19.3,120,4.28,308,775,1010,2486913,3.589068159
Oceania,Fiji,1991,63.8,women,25.7,126,4.86,7.82,9.02,9.34,361723,0.902682664
Europe,Finland,1991,71.5,women,25.3,134,5.77,482,117,558,2581831,0.398509401
Europe,France,1991,72.8,women,24.4,128,5.7,3170,1020,3910,29224017,0.461001738
Africa,Gabon,1991,59.7,women,23.1,136,5.09,21.5,31.9,24.3,496896,2.680161843
Africa,Gambia,1991,51.3,women,21.7,128,4.45,4.82,36,6.12,497435,3.897446609
Asia,Georgia,1991,66.2,women,26,134,5.15,220,146,382,2819357,-0.666286623
Europe,Germany,1991,72.3,women,25.2,132,5.83,9270,1680,11900,4108321,0.427266542
Africa,Ghana,1991,56.1,women,21.8,128,4.39,81.9,361,265,7547614,2.898314415
Europe,Greece,1991,74.1,women,24.4,128,5.25,875,724,785,5199332,0.840868763
Americas,Grenada,1991,66.4,women,25.3,125,4.78,2.88,3.07,4.45,48799,-0.043015158
Americas,Guatemala,1991,59.9,women,24.3,121,4.62,121,176,454,4777563,2.50879869
Africa,Guinea,1991,49.7,women,21.1,130,4.35,48,257,129,3396702,2.826415478
Africa,Guinea-Bissau,1991,47.2,women,21.6,129,4.33,10,36.9,32.8,515385,2.256696778
Americas,Guyana,1991,60.2,women,24.4,123,4.48,9.4,11.7,17.9,377935,0.361416348
Americas,Haiti,1991,53.4,women,21.6,124,4.47,206,118,417,3647645,1.986497776
Americas,Honduras,1991,64.9,women,24.5,123,4.62,59.8,78.9,204,2566138,2.889244041
Europe,Hungary,1991,65,women,25.5,133,5.28,1510,388,1120,5391013,-0.043627671
Europe,Iceland,1991,75.9,women,24.9,125,5.95,40.5,2.28,17.9,128292,1.027664249
Asia,India,1991,58,women,20.6,124,4.53,7560,3680,30400,428576053,2.036956441
Asia,Indonesia,1991,62.2,women,21.2,125,4.54,1950,2010,4840,91929575,1.785424019
Asia,Iraq,1991,63.6,women,27,128,4.95,222,140,171,8868358,2.714659239
Europe,Ireland,1991,72.3,women,25.3,128,5.58,473,40,215,1768599,0.262874144
Asia,Israel,1991,75,women,25.5,128,5.61,324,65.1,220,2303150,3.359341272
Europe,Italy,1991,73.8,women,24.9,130,5.37,5840,2820,8920,29342656,0.092278501
Americas,Jamaica,1991,69.7,women,25.5,126,4.81,68.9,41.6,105,1236106,0.837219774
Asia,Japan,1991,76.1,women,21.7,128,5.14,14600,9020,36900,63379423,0.366529614
Asia,Jordan,1991,68.8,women,28.6,126,5.27,31.6,13.8,34.1,1791218,5.498693059
Asia,Kazakhstan,1991,61.4,women,25.7,132,5.21,905,490,1600,8425648,-0.077725842
Africa,Kenya,1991,54.5,women,21.8,125,4.53,147,159,454,12307836,3.387897188
Oceania,Kiribati,1991,58,women,27.5,119,4.57,0.98,1.51,0.83,37225,1.757695041
Asia,Kuwait,1991,71.5,women,28.7,130,5.45,18,7.26,9.29,873730,-3.428891642
Europe,Latvia,1991,63,women,25.4,133,5.53,202,43.7,417,1416018,-0.491702477
Asia,Lebanon,1991,69.1,women,25.4,131,5.01,84.1,28.8,87.4,1477727,4.091671128
Africa,Lesotho,1991,57.5,women,25.7,128,4.35,24,20.6,28.5,937853,1.257058335
Africa,Liberia,1991,45.4,women,22,129,4.42,12.8,73.8,45.4,1026097,-1.721906951
Africa,Libya,1991,67.3,women,27.6,134,5.11,34.4,35.8,37.2,2152373,2.604961177
Europe,Lithuania,1991,65.1,women,26.3,135,5.79,223,47.7,498,1948426,0.068974974
Europe,Luxembourg,1991,71.8,women,24.9,129,5.88,43.5,12,41.6,197121,1.09806134
Africa,Madagascar,1991,50.4,women,20.5,129,4.48,63.8,144,145,5982243,3.008617969
Africa,Malawi,1991,44.6,women,21.2,127,4.36,44.6,72.5,51.1,4841102,2.087358874
Asia,Malaysia,1991,69.2,women,23.4,125,4.92,565,212,335,9093703,2.663849246
Asia,Maldives,1991,62.4,women,23.7,122,4.65,1.37,1.01,2.59,112327,3.278748816
Africa,Mali,1991,45.3,women,20.4,125,4.34,69.7,479,316,4373877,2.222454375
Europe,Malta,1991,74.5,women,26.2,131,5.64,13.5,3.9,18.4,18519,0.780382681
Africa,Mauritania,1991,57.3,women,24,128,4.59,21.4,64.2,42.4,1051813,2.678411052
Africa,Mauritius,1991,66,women,24.4,131,4.94,21.2,10.7,33,535410,1.149386201
Americas,Mexico,1991,68.4,women,26.4,125,4.86,1670,1660,2270,43238119,1.970094153
Asia,Mongolia,1991,58,women,25,130,5.08,82.5,185,223,1122551,1.506844732
Europe,Montenegro,1991,71.3,women,25.8,133,5.27,64.9,15.1,15,308975,0.064123947
Africa,Morocco,1991,63.6,women,24.7,127,4.78,210,83,396,12662429,1.85701359
Africa,Mozambique,1991,41.6,women,21.2,130,4.46,74.9,377,281,6974363,2.830977908
Asia,Myanmar,1991,56.9,women,20.5,119,4.3,610,601,1690,2149831,1.352540474
Africa,Namibia,1991,58.6,women,23.4,132,4.71,10.4,4.23,8.93,764921,2.971124722
Asia,Nepal,1991,54.4,women,19.3,123,4.43,283,88.7,549,9732851,2.348251646
Europe,Netherlands,1991,74,women,24.4,128,5.62,1500,155,1330,7611981,0.64316857
Oceania,New Zealand,1991,72.8,women,25.4,125,5.83,467,30.6,213,1750208,1.423997543
Americas,Nicaragua,1991,62.1,women,25.5,124,4.68,32.6,60.2,86.8,2151785,2.310926967
Africa,Niger,1991,43.4,women,20.7,130,4.31,55.3,199,136,4231826,3.175457665
Africa,Nigeria,1991,44.6,women,22.4,132,4.27,641,3080,963,48527726,2.561860878
Europe,Norway,1991,73.8,women,24.4,132,5.67,513,43.4,367,2158543,0.52068538
Asia,Oman,1991,66,women,25.8,131,5.12,9.19,9.69,23.8,823209,2.457739134
Asia,Pakistan,1991,59.7,women,22.4,125,4.67,875,948,1150,53375376,2.987271654
Americas,Panama,1991,70.5,women,25.3,125,4.92,47.3,34.5,71.1,1248322,2.156350555
Oceania,Papua New Guinea,1991,56.5,women,22.9,114,4.55,73.2,45.6,106,2321886,2.402610204
Americas,Paraguay,1991,66,women,24.4,126,4.87,73.8,37.1,90,2138548,2.61623541
Americas,Peru,1991,63.7,women,25.5,123,4.89,589,459,1230,11320005,2.045994237
Asia,Philippines,1991,62.8,women,22.1,122,4.74,1390,332,776,31407079,2.546062761
Europe,Poland,1991,66.6,women,25.6,133,5.32,3640,876,2540,19542298,0.342562292
Europe,Portugal,1991,71,women,25.3,133,5.36,513,231,1480,5142921,0.206065648
Asia,Qatar,1991,74.3,women,27.3,133,5.34,2.57,2.94,3.73,161859,2.788503061
Europe,Romania,1991,66.2,women,25.2,132,5.23,1160,397,1290,11898022,-0.097643499
Africa,Rwanda,1991,28.7,women,21.1,131,4.38,39.1,103,128,3596141,-2.641121522
Oceania,Samoa,1991,62.3,women,29.5,123,4.65,1.35,0.95,2.46,78433,0.792896063
Africa,Sao Tome and Principe,1991,60.2,women,22.7,132,4.5,1.74,0.51,3.91,61692,2.262668457
Asia,Saudi Arabia,1991,67.8,women,27.4,130,5.22,132,235,112,7381804,3.290191999
Africa,Senegal,1991,55.8,women,22.4,129,4.5,57.1,202,137,3896884,3.086987691
Europe,Serbia,1991,68.7,women,26,134,5.07,745,261,416,4864064,0.92204269
Africa,Seychelles,1991,66.3,women,25.9,131,5.31,1.63,0.45,1.82,35811,1.258270655
Africa,Sierra Leone,1991,36.2,women,22.2,132,4.39,25.7,117,77.5,2200258,0.627015734
Asia,Singapore,1991,74.3,women,23.5,127,4.88,224,72.9,149,154044,2.892593449
Europe,Slovenia,1991,69.4,women,26.2,134,5.38,151,35.9,218,1032500,0.126649302
Oceania,Solomon Islands,1991,56.8,women,25.8,120,4.64,4.73,3.33,6.39,156014,2.891248434
Africa,Somalia,1991,43.8,women,21.5,128,4.5,37.9,104,119,3621246,0.738672259
Africa,South Africa,1991,58.6,women,27.5,132,4.71,1200,522,575,19001034,2.627299537
Europe,Spain,1991,73.8,women,25.5,128,5.37,1700,1470,3800,20053115,0.273045342
Asia,Sri Lanka,1991,66.4,women,21.9,123,4.56,190,71.6,309,8691163,1.322436431
Africa,Sudan,1991,54.2,women,21.5,126,4.55,312,217,462,10414617,3.685743089
Americas,Suriname,1991,64.3,women,25.6,126,4.83,10.4,8.45,8.42,203096,1.946099519
Europe,Sweden,1991,75.1,women,24.7,129,5.73,1010,261,675,4364051,0.665018
Europe,Switzerland,1991,74.3,women,23.9,126,5.7,635,111,573,3438421,0.971474499
Asia,Tajikistan,1991,59.3,women,24.3,130,4.93,100,69,274,2720977,2.113477892
